epoch,loss_G,loss_D_A,loss_D_B,loss_cycle,loss_id,lr
1,0.9083233233631233,0.20447697342034937,0.22125560789810755,4.587497993198502,2.1090254287433137,0.0002
2,0.9542344438007911,0.1488104084557974,0.17852889088189702,3.485303540685767,1.6009679086322166,0.0002
3,0.9912271161430573,0.13473749979848795,0.168749176665932,3.028333912403213,1.3976056780978405,0.0002
4,1.0578401303773628,0.12273705890918277,0.15411718983815056,2.7851479696123125,1.2899422319428628,0.0002
5,1.061484149268411,0.13217172627018367,0.14869331877994102,2.6382490579598867,1.225234651275913,0.0002
6,1.0529322714485814,0.12749677782869812,0.15516314298403058,2.4731852981847062,1.1611278988854998,0.0002
7,1.0848132561660433,0.12229788002038534,0.15137550974149352,2.3921676895841344,1.1103475610449016,0.0002
8,1.092089027769781,0.12039582407417987,0.14866714550946547,2.3067869432746906,1.0573902288327404,0.0002
9,1.1258916713299485,0.1088190276029383,0.15095183618023195,2.230710297289407,1.0207972257617997,0.0002
10,1.1621004293828092,0.09417762311318909,0.15174244049196556,2.160759561972782,0.9762234942213179,0.0002
11,1.1849272509136468,0.08707784862689193,0.1486067728535914,2.112734244133336,0.936468330685406,0.0002
12,1.2327690956397943,0.07791515828554105,0.14411052228918902,2.0541182929445108,0.9061949187235996,0.0002
13,1.2633557740718542,0.07182470054486642,0.138114938972548,2.021148606978143,0.8799287375061645,0.0002
14,1.231587327034357,0.09382391993380378,0.13531068600139903,1.9830163656970796,0.8542841203080961,0.0002
15,1.2781955352321406,0.06604537662064684,0.1369713834761085,1.9521268699852774,0.8356552730740794,0.0002
16,1.275769091750892,0.06629627078078723,0.1372211032128107,1.9086617441907732,0.811266856446426,0.0002
17,1.2941395188934528,0.06223772535178388,0.13949461920892448,1.8946275487139876,0.8016880932993156,0.0002
18,1.299549126047477,0.05878103723242439,0.13881026822454332,1.849662907499927,0.7718104709487098,0.0002
19,1.3181407499225277,0.05404014021643067,0.13607318783255676,1.8212914558407527,0.7568237561543038,0.0002
20,1.3267053420057044,0.05236186499861695,0.1356835973920932,1.7937286048492405,0.742103584493958,0.0002
21,1.341534063609597,0.04900782819706063,0.1366215000377926,1.7724441813877205,0.7290491252400788,0.0002
22,1.3498507367384032,0.04673111452222184,0.13670903510692217,1.7438521246386374,0.7151291459316081,0.0002
23,1.3580006383916268,0.04456194898610631,0.13664729084129335,1.719262901762393,0.6964063403043398,0.0002
24,1.3181239640587397,0.05902635185119441,0.13498090613624397,1.7259584546817504,0.6959516960819461,0.0002
25,1.2900712463192792,0.06721180485816618,0.1331286252584519,1.6945678346212631,0.678280609673348,0.0002
26,1.285929370757259,0.06934488537973023,0.13483424487826237,1.6814692838434537,0.6699776210189374,0.0002
27,1.2832426110022648,0.0716402296501689,0.1330868318628252,1.6793362002170842,0.6625126174995932,0.0002
28,1.279948494238046,0.07413683887573742,0.1296213945939197,1.650548947174192,0.647259787982687,0.0002
29,1.271471136002149,0.07477299792217802,0.1298559599929987,1.6379614814027665,0.6429925524026503,0.0002
30,1.2761194950801196,0.07609580415434676,0.12861129088826428,1.6191403514436444,0.6289482383853029,0.0002
31,1.278530636265065,0.07587403617045015,0.12644409685511843,1.617582785292219,0.6262614080456381,0.0002
32,1.2816352222001528,0.07506039867052688,0.12714922249753322,1.6143639430416412,0.62245116151846,0.0002
33,1.2761992021704913,0.07515564779866128,0.12832297548666516,1.5981614981381247,0.6109341987072321,0.0002
34,1.2645824626405728,0.07593054767117395,0.13436918411087367,1.5836309950674892,0.6048862760667945,0.0002
35,1.2517754754480837,0.07533619440147195,0.1351551689858871,1.5852689039947703,0.6083834114129586,0.0002
36,1.2672556431100734,0.07452589484594888,0.13345008516463452,1.5637311006293577,0.5966280213080539,0.0002
37,1.2588921380537619,0.07540594634850613,0.1332752344138448,1.5541347861544048,0.5852682833036058,0.0002
38,1.2550532099121028,0.07654542924794462,0.13400496607664872,1.5455620941129318,0.5837836762099958,0.0002
39,1.2627353136403616,0.07577775769307786,0.131719622842525,1.5481007901925734,0.5813134582853514,0.0002
40,1.2669405180491924,0.07433526280316761,0.13301205909703775,1.5205056772427858,0.569517237995202,0.0002
41,1.2565015148594827,0.0758057999449514,0.13255012773652752,1.5138784595242478,0.5666769448626479,0.0002
42,1.2512386163660125,0.07659590307254747,0.13313132905488362,1.5193788015510454,0.564490774996276,0.0002
43,1.2604235479373693,0.0765322370923903,0.1329075674369982,1.5021566895047653,0.5551891095002593,0.0002
44,1.259538770549827,0.07559377190734504,0.13201535102159936,1.4867877781679089,0.54838539729846,0.0002
45,1.2607726989127113,0.07511395517563059,0.13368522831399982,1.4841363873458715,0.5458289921182095,0.0002
46,1.2641684747904192,0.07392793188586674,0.1327500109917808,1.4685177909918012,0.5399023239019413,0.0002
47,1.2637984579591528,0.07299974618683923,0.1325446176943434,1.4761314509215766,0.5449788895358616,0.0002
48,1.2720629171142526,0.07302745237126608,0.13117031628728065,1.471167288549111,0.5381994138567853,0.0002
49,1.2611671687400487,0.07205977962881911,0.13301707479867764,1.45913089864733,0.5291081917395168,0.0002
